load,bus_connection,local_nodes,phases,primary_phase,connection,base_kv,base_kw,base_kvar,base_pf,model,Vminpu,Vmaxpu,status
138236b0a,sx2673305b.1,"[1, 0]",1,B,wye,0.12,0.696180467009544,0.17447927184602238,0.97,1,0.88,1.05,Variable
138236b0b,sx2673305b.2,"[2, 0]",1,B,wye,0.12,3.19381953299046,0.8004466268889721,0.97,1,0.88,1.05,Variable
138237b0a,sx3048196b.1,"[1, 0]",1,B,wye,0.12,2.30339207649231,0.577284470517565,0.97,1,0.88,1.05,Variable
138237b0b,sx3048196b.2,"[2, 0]",1,B,wye,0.12,3.53660792350769,0.8863574957066924,0.97,1,0.88,1.05,Variable
138258c0a,sx2991911c.1,"[1, 0]",1,C,wye,0.12,0.932027059793472,0.23358799972094707,0.97,1,0.88,1.05,Variable
138258c0b,sx2991911c.2,"[2, 0]",1,C,wye,0.12,5.16797294020653,1.2952161088352128,0.97,1,0.88,1.05,Variable
138259c0a,sx2973158c.1,"[1, 0]",1,C,wye,0.12,0.616065526008606,0.15440057496750298,0.97,1,0.88,1.05,Variable
138259c0b,sx2973158c.2,"[2, 0]",1,C,wye,0.12,5.48393447399139,1.3744035335886553,0.97,1,0.88,1.05,Variable
138260a0a,sx3048208a.1,"[1, 0]",1,A,wye,0.12,1.45716053724289,0.36519885510866074,0.97,1,0.88,1.05,Variable
138260a0b,sx3048208a.2,"[2, 0]",1,A,wye,0.12,3.86283946275711,0.9681188264517929,0.97,1,0.88,1.05,Variable
138262a0a,sx3029502a.1,"[1, 0]",1,A,wye,0.12,11.3558540940285,2.8460453106745986,0.97,1,0.88,1.05,Variable
138262a0b,sx3029502a.2,"[2, 0]",1,A,wye,0.12,6.38414590597153,1.600017785355944,0.97,1,0.88,1.05,Variable
138264b0a,sx3104125b.1,"[1, 0]",1,B,wye,0.12,0.721058705449104,0.1807143461312747,0.97,1,0.88,1.05,Variable
138264b0b,sx3104125b.2,"[2, 0]",1,B,wye,0.12,9.0089412945509,2.257853518827977,0.97,1,0.88,1.05,Variable
138265a0a,sx3160107a.1,"[1, 0]",1,A,wye,0.12,5.42583449840546,1.3598423071324615,0.97,1,0.88,1.05,Variable
138265a0b,sx3160107a.2,"[2, 0]",1,A,wye,0.12,3.44416550159454,0.8631892408828062,0.97,1,0.88,1.05,Variable
138294b0a,sx2785516b.1,"[1, 0]",1,B,wye,0.12,0.979905409812927,0.24558744533088686,0.97,1,0.88,1.05,Variable
138294b0b,sx2785516b.2,"[2, 0]",1,B,wye,0.12,4.86009459018707,1.21805452089337,0.97,1,0.88,1.05,Variable
138313a0a,sx3141400a.1,"[1, 0]",1,A,wye,0.12,3.3028557240963,0.8277736722896151,0.97,1,0.88,1.05,Variable
138313a0b,sx3141400a.2,"[2, 0]",1,A,wye,0.12,0.247144275903702,0.06194019416519945,0.97,1,0.88,1.05,Variable
138342c0a,sx2897775c.1,"[1, 0]",1,C,wye,0.12,5.46709477722645,1.3701831077524127,0.97,1,0.88,1.05,Variable
138342c0b,sx2897775c.2,"[2, 0]",1,C,wye,0.12,4.70290522277355,1.1786591519223644,0.97,1,0.88,1.05,Variable
138343c0a,sx3010565c.1,"[1, 0]",1,C,wye,0.12,1.90731858491898,0.478019096549124,0.97,1,0.88,1.05,Variable
138343c0b,sx3010565c.2,"[2, 0]",1,C,wye,0.12,2.16268141508102,0.5420190545694937,0.97,1,0.88,1.05,Variable
138346c0a,sx2916609c.1,"[1, 0]",1,C,wye,0.12,0.640997141599655,0.16064902682791915,0.97,1,0.88,1.05,Variable
138346c0b,sx2916609c.2,"[2, 0]",1,C,wye,0.12,5.45900285840034,1.3681550817282389,0.97,1,0.88,1.05,Variable
138371c0a,sx2879073c.1,"[1, 0]",1,C,wye,0.12,5.15049561262131,1.290835877651792,0.97,1,0.88,1.05,Variable
138371c0b,sx2879073c.2,"[2, 0]",1,C,wye,0.12,0.949504387378693,0.23796823090436803,0.97,1,0.88,1.05,Variable
138372c0a,sx3104126c.1,"[1, 0]",1,C,wye,0.12,3.53355606496334,0.8855926278572933,0.97,1,0.88,1.05,Variable
138372c0b,sx3104126c.2,"[2, 0]",1,C,wye,0.12,0.536443935036659,0.13444552326132422,0.97,1,0.88,1.05,Variable
138373c0a,sx3029503c.1,"[1, 0]",1,C,wye,0.12,3.10627183914185,0.7785051065528454,0.97,1,0.88,1.05,Variable
138373c0b,sx3029503c.2,"[2, 0]",1,C,wye,0.12,2.99372816085815,0.7502990020033138,0.97,1,0.88,1.05,Variable
138374c0a,sx2691950c.1,"[1, 0]",1,C,wye,0.12,1.3819062012434,0.34633834067215485,0.97,1,0.88,1.05,Variable
138374c0b,sx2691950c.2,"[2, 0]",1,C,wye,0.12,8.7880937987566,2.2025039190026225,0.97,1,0.88,1.05,Variable
138379c0a,sx2691951c.1,"[1, 0]",1,C,wye,0.12,5.53433520913124,1.3870351484994838,0.97,1,0.88,1.05,Variable
138379c0b,sx2691951c.2,"[2, 0]",1,C,wye,0.12,4.63566479086876,1.1618071111752934,0.97,1,0.88,1.05,Variable
138380c0a,sx2879076c.1,"[1, 0]",1,C,wye,0.12,2.61281781375408,0.6548338702583539,0.97,1,0.88,1.05,Variable
138380c0b,sx2879076c.2,"[2, 0]",1,C,wye,0.12,1.45718218624592,0.3652042808602638,0.97,1,0.88,1.05,Variable
138404c0a,sx2841630c.1,"[1, 0]",1,C,wye,0.12,8.31935176134109,2.085026090698718,0.97,1,0.88,1.05,Variable
138404c0b,sx2841630c.2,"[2, 0]",1,C,wye,0.12,1.85064823865891,0.46381616897605926,0.97,1,0.88,1.05,Variable
138405c0a,sx2841629c.1,"[1, 0]",1,C,wye,0.12,8.68428897500038,2.176487977847465,0.97,1,0.88,1.05,Variable
138405c0b,sx2841629c.2,"[2, 0]",1,C,wye,0.12,6.57571102499962,1.6480285297864676,0.97,1,0.88,1.05,Variable
138412c0a,sx2785523c.1,"[1, 0]",1,C,wye,0.12,2.53578065633774,0.6355265386567822,0.97,1,0.88,1.05,Variable
138412c0b,sx2785523c.2,"[2, 0]",1,C,wye,0.12,3.56421934366226,0.8932775698993771,0.97,1,0.88,1.05,Variable
138413c0a,sx3216347c.1,"[1, 0]",1,C,wye,0.12,4.66030400395393,1.167982280059916,0.97,1,0.88,1.05,Variable
138413c0b,sx3216347c.2,"[2, 0]",1,C,wye,0.12,1.43969599604607,0.3608218284962433,0.97,1,0.88,1.05,Variable
138416c0a,sx3141388c.1,"[1, 0]",1,C,wye,0.12,2.00353498935699,0.5021332005516372,0.97,1,0.88,1.05,Variable
138416c0b,sx3141388c.2,"[2, 0]",1,C,wye,0.12,2.06646501064301,0.5179049505669805,0.97,1,0.88,1.05,Variable
138464c0a,sx3066801c.1,"[1, 0]",1,C,wye,0.12,2.74935719311237,0.6890538643801019,0.97,1,0.88,1.05,Variable
138464c0b,sx3066801c.2,"[2, 0]",1,C,wye,0.12,1.32064280688763,0.33098428673851593,0.97,1,0.88,1.05,Variable
138465c0a,sx2879055c.1,"[1, 0]",1,C,wye,0.12,3.90297761797905,0.9781783963883777,0.97,1,0.88,1.05,Variable
138465c0b,sx2879055c.2,"[2, 0]",1,C,wye,0.12,0.16702238202095,0.041859754730240124,0.97,1,0.88,1.05,Variable
138466c0a,sx2973144c.1,"[1, 0]",1,C,wye,0.12,8.10096781075001,2.0302939135009526,0.97,1,0.88,1.05,Variable
138466c0b,sx2973144c.2,"[2, 0]",1,C,wye,0.12,2.06903218924999,0.5185483461738245,0.97,1,0.88,1.05,Variable
138469c0a,sx2785518c.1,"[1, 0]",1,C,wye,0.12,4.01072108745575,1.0051814552090457,0.97,1,0.88,1.05,Variable
138469c0b,sx2785518c.2,"[2, 0]",1,C,wye,0.12,2.08927891254425,0.5236226533471138,0.97,1,0.88,1.05,Variable
138470c0a,sx2766717c.1,"[1, 0]",1,C,wye,0.12,2.60895431101322,0.65386558519874,0.97,1,0.88,1.05,Variable
138470c0b,sx2766717c.2,"[2, 0]",1,C,wye,0.12,1.46104568898678,0.3661725659198777,0.97,1,0.88,1.05,Variable
138472c0a,sx2673309c.1,"[1, 0]",1,C,wye,0.12,9.44700153708458,2.3676417644969274,0.97,1,0.88,1.05,Variable
138472c0b,sx2673309c.2,"[2, 0]",1,C,wye,0.12,0.72299846291542,0.18120049517784953,0.97,1,0.88,1.05,Variable
138560a0a,sx3104113a.1,"[1, 0]",1,A,wye,0.12,4.76630929410458,1.194549710078113,0.97,1,0.88,1.05,Variable
138560a0b,sx3104113a.2,"[2, 0]",1,A,wye,0.12,4.10369070589542,1.0284818379371548,0.97,1,0.88,1.05,Variable
138561a0a,sx3104121a.1,"[1, 0]",1,A,wye,0.12,6.50350156784058,1.6299311339206726,0.97,1,0.88,1.05,Variable
138561a0b,sx3104121a.2,"[2, 0]",1,A,wye,0.12,2.36649843215942,0.5931004140945951,0.97,1,0.88,1.05,Variable
138562a0a,sx2673310a.1,"[1, 0]",1,A,wye,0.12,6.82647125542164,1.7108749675785453,0.97,1,0.88,1.05,Variable
138562a0b,sx2673310a.2,"[2, 0]",1,A,wye,0.12,2.04352874457836,0.5121565804367225,0.97,1,0.88,1.05,Variable
138563a0a,sx2916627a.1,"[1, 0]",1,A,wye,0.12,6.43954766631126,1.6139027753278494,0.97,1,0.88,1.05,Variable
138563a0b,sx2916627a.2,"[2, 0]",1,A,wye,0.12,2.43045233368874,0.6091287726874183,0.97,1,0.88,1.05,Variable
138564a0a,sx2804283a.1,"[1, 0]",1,A,wye,0.12,7.51748701274395,1.8840598411640197,0.97,1,0.88,1.05,Variable
138564a0b,sx2804283a.2,"[2, 0]",1,A,wye,0.12,1.35251298725605,0.3389717068512481,0.97,1,0.88,1.05,Variable
138565a0a,sx3104122a.1,"[1, 0]",1,A,wye,0.12,8.4127882361412,2.108443478659933,0.97,1,0.88,1.05,Variable
138565a0b,sx3104122a.2,"[2, 0]",1,A,wye,0.12,0.457211763858796,0.11458806935533375,0.97,1,0.88,1.05,Variable
138566a0a,sx2785519a.1,"[1, 0]",1,A,wye,0.12,8.3076517778635,2.0820937984346886,0.97,1,0.88,1.05,Variable
138566a0b,sx2785519a.2,"[2, 0]",1,A,wye,0.12,0.562348222136498,0.14093774958057867,0.97,1,0.88,1.05,Variable
138567a0a,sx2748129a.1,"[1, 0]",1,A,wye,0.12,0.489392793178558,0.12265339555887773,0.97,1,0.88,1.05,Variable
138567a0b,sx2748129a.2,"[2, 0]",1,A,wye,0.12,12.8106072068214,3.210640808342246,0.97,1,0.88,1.05,Variable
138569a0a,sx2973151a.1,"[1, 0]",1,A,wye,0.12,3.8825451207161,0.9730575298697448,0.97,1,0.88,1.05,Variable
138569a0b,sx2973151a.2,"[2, 0]",1,A,wye,0.12,1.43745487928391,0.3602601516907114,0.97,1,0.88,1.05,Variable
138570a0a,sx2748146a.1,"[1, 0]",1,A,wye,0.12,0.57196382522583,0.14334764687717147,0.97,1,0.88,1.05,Variable
138570a0b,sx2748146a.2,"[2, 0]",1,A,wye,0.12,4.74803617477417,1.1899700346832822,0.97,1,0.88,1.05,Variable
138571a0a,sx2991913a.1,"[1, 0]",1,A,wye,0.12,1.55185956716537,0.38893266921059033,0.97,1,0.88,1.05,Variable
138571a0b,sx2991913a.2,"[2, 0]",1,A,wye,0.12,3.76814043283463,0.9443850123498635,0.97,1,0.88,1.05,Variable
138573a0a,sx3235253a.1,"[1, 0]",1,A,wye,0.12,6.42777684092522,1.6109527284079683,0.97,1,0.88,1.05,Variable
138573a0b,sx3235253a.2,"[2, 0]",1,A,wye,0.12,2.44222315907478,0.6120788196072994,0.97,1,0.88,1.05,Variable
138574a0a,sx2991907a.1,"[1, 0]",1,A,wye,0.12,5.82470866858959,1.4598095973249905,0.97,1,0.88,1.05,Variable
