slot,role,location,PCC_bus,scheduled_P_kw,scheduled_Q_kvar,physical_P_kw,physical_Q_kvar,P_residual_kw,Q_residual_kvar
0,AIDC,AIDC01,pcc8500_aidc_aidc01_lv,114.26611717273792,37.557456475184495,114.26622248001206,37.55749306539806,0.0001053072741399319,3.659021356838821e-05
0,MESS,AIDC01,pcc8500_mess_aidc01_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,AIDC,AIDC02,pcc8500_aidc_aidc02_lv,62.11534789997167,20.416327542375967,62.11536118528125,20.416359769944066,1.3285309584887273e-05,3.2227568098619486e-05
0,MESS,AIDC02,pcc8500_mess_aidc02_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,AIDC,AIDC03,pcc8500_aidc_aidc03_lv,114.26611717273792,37.557456475184495,114.26612916631458,37.5575100671396,1.1993576663371641e-05,5.3591955108345246e-05
0,MESS,AIDC03,pcc8500_mess_aidc03_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,AIDC,AIDC04,pcc8500_aidc_aidc04_lv,62.11534789997167,20.416327542375967,62.11543235435114,20.41637941156245,8.445437947557366e-05,5.186918648192318e-05
0,MESS,AIDC04,pcc8500_mess_aidc04_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,AIDC,AIDC05,pcc8500_aidc_aidc05_lv,140.34151282988338,46.12802456393817,140.34166424824684,46.12809494356222,0.00015141836345833326,7.037962404865539e-05
0,MESS,AIDC05,pcc8500_mess_aidc05_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,AIDC,AIDC06,pcc8500_aidc_aidc06_lv,114.26611717273792,37.557456475184495,114.26621527295967,37.55749865051469,9.810022174860933e-05,4.2175330193572336e-05
0,MESS,AIDC06,pcc8500_mess_aidc06_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,AIDC,AIDC07,pcc8500_aidc_aidc07_lv,62.11534789997167,20.416327542375967,62.11537514694167,20.41635382805847,2.7246970006444826e-05,2.6285682501736574e-05
0,MESS,AIDC07,pcc8500_mess_aidc07_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,AIDC,AIDC08,pcc8500_aidc_aidc08_lv,114.26611717273792,37.557456475184495,114.26623694839046,37.55751703899339,0.0001197756525357363,6.056380889418733e-05
0,MESS,AIDC08,pcc8500_mess_aidc08_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,AIDC,AIDC09,pcc8500_aidc_aidc09_lv,62.11534789997167,20.416327542375967,62.11539654019574,20.41634951064885,4.864022407247148e-05,2.1968272882588735e-05
0,MESS,AIDC09,pcc8500_mess_aidc09_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,AIDC,AIDC10,pcc8500_aidc_aidc10_lv,114.26611717273792,37.557456475184495,114.26620108069471,37.55748991616369,8.390795679247276e-05,3.344097919466549e-05
0,MESS,AIDC10,pcc8500_mess_aidc10_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,AIDC,AIDC11,pcc8500_aidc_aidc11_lv,62.11534789997167,20.416327542375967,62.11536673340192,20.416366256295525,1.8833430253550887e-05,3.871391955811987e-05
0,MESS,AIDC11,pcc8500_mess_aidc11_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,AIDC,AIDC12,pcc8500_aidc_aidc12_lv,114.26611717273792,37.557456475184495,114.26621681527439,37.557489681642835,9.964253646899124e-05,3.32064583403735e-05
0,MESS,AIDC12,pcc8500_mess_aidc12_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,MESS,STA01,pcc8500_mess_sta01_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,MESS,STA02,pcc8500_mess_sta02_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,MESS,STA03,pcc8500_mess_sta03_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,MESS,STA04,pcc8500_mess_sta04_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,MESS,STA05,pcc8500_mess_sta05_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,MESS,STA06,pcc8500_mess_sta06_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,MESS,STA07,pcc8500_mess_sta07_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,MESS,STA08,pcc8500_mess_sta08_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,MESS,STA09,pcc8500_mess_sta09_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,MESS,STA10,pcc8500_mess_sta10_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,MESS,STA11,pcc8500_mess_sta11_lv,0.0,0.0,0.0,0.0,0.0,0.0
0,MESS,STA12,pcc8500_mess_sta12_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,AIDC,AIDC01,pcc8500_aidc_aidc01_lv,114.26611715979037,37.55745647092884,114.26611417628096,37.55744205827167,-2.983509403975404e-06,-1.4412657172613308e-05
1,MESS,AIDC01,pcc8500_mess_aidc01_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,AIDC,AIDC02,pcc8500_aidc_aidc02_lv,62.11534789988964,20.416327542349006,62.115347214155804,20.416325882802283,-6.857338377130873e-07,-1.659546722265759e-06
1,MESS,AIDC02,pcc8500_mess_aidc02_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,AIDC,AIDC03,pcc8500_aidc_aidc03_lv,114.26611715979037,37.55745647092884,114.26611586833438,37.55745440987031,-1.291455987484369e-06,-2.0610585309555063e-06
1,MESS,AIDC03,pcc8500_mess_aidc03_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,AIDC,AIDC04,pcc8500_aidc_aidc04_lv,62.11534789988964,20.416327542349006,62.11534839087138,20.416323441341927,4.909817405973627e-07,-4.10100707881611e-06
1,MESS,AIDC04,pcc8500_mess_aidc04_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,AIDC,AIDC05,pcc8500_aidc_aidc05_lv,140.3415126743438,46.128024512814775,140.34152291236026,46.12801512988624,1.0238016471930678e-05,-9.382928531920243e-06
1,MESS,AIDC05,pcc8500_mess_aidc05_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,AIDC,AIDC06,pcc8500_aidc_aidc06_lv,114.26611715979037,37.55745647092884,114.26610909861581,37.55744056701545,-8.06117455454114e-06,-1.5903913393344737e-05
1,MESS,AIDC06,pcc8500_mess_aidc06_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,AIDC,AIDC07,pcc8500_aidc_aidc07_lv,62.11534789988964,20.416327542349006,62.115346928506185,20.416323336179182,-9.713834572266933e-07,-4.20616982310662e-06
1,MESS,AIDC07,pcc8500_mess_aidc07_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,AIDC,AIDC08,pcc8500_aidc_aidc08_lv,114.26611715979037,37.55745647092884,114.26611397310499,37.557443816101376,-3.1866853760220692e-06,-1.2654827465041762e-05
1,MESS,AIDC08,pcc8500_mess_aidc08_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,AIDC,AIDC09,pcc8500_aidc_aidc09_lv,62.11534789988964,20.416327542349006,62.11534648480657,20.416320795292588,-1.4150830693893113e-06,-6.747056417566455e-06
1,MESS,AIDC09,pcc8500_mess_aidc09_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,AIDC,AIDC10,pcc8500_aidc_aidc10_lv,114.26611715979037,37.55745647092884,114.2661034855183,37.55743773476628,-1.3674272068442406e-05,-1.8736162559207514e-05
1,MESS,AIDC10,pcc8500_mess_aidc10_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,AIDC,AIDC11,pcc8500_aidc_aidc11_lv,62.11534789988964,20.416327542349006,62.11534744838527,20.416325968143187,-4.515043698916088e-07,-1.5742058181444918e-06
1,MESS,AIDC11,pcc8500_mess_aidc11_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,AIDC,AIDC12,pcc8500_aidc_aidc12_lv,114.26611715979037,37.55745647092884,114.26611280497517,37.55744138153892,-4.354815203555518e-06,-1.5089389918898632e-05
1,MESS,AIDC12,pcc8500_mess_aidc12_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,MESS,STA01,pcc8500_mess_sta01_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,MESS,STA02,pcc8500_mess_sta02_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,MESS,STA03,pcc8500_mess_sta03_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,MESS,STA04,pcc8500_mess_sta04_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,MESS,STA05,pcc8500_mess_sta05_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,MESS,STA06,pcc8500_mess_sta06_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,MESS,STA07,pcc8500_mess_sta07_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,MESS,STA08,pcc8500_mess_sta08_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,MESS,STA09,pcc8500_mess_sta09_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,MESS,STA10,pcc8500_mess_sta10_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,MESS,STA11,pcc8500_mess_sta11_lv,0.0,0.0,0.0,0.0,0.0,0.0
1,MESS,STA12,pcc8500_mess_sta12_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,AIDC,AIDC01,pcc8500_aidc_aidc01_lv,114.26611714704262,37.55745646673886,114.26647114137938,37.55828763159934,0.00035399433676275294,0.0008311648604788502
2,MESS,AIDC01,pcc8500_mess_aidc01_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,AIDC,AIDC02,pcc8500_aidc_aidc02_lv,62.11534789980932,20.416327542322605,62.11540689366431,20.416505505157243,5.899385498508991e-05,0.00017796283463766827
2,MESS,AIDC02,pcc8500_mess_aidc02_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,AIDC,AIDC03,pcc8500_aidc_aidc03_lv,114.26611714704262,37.55745646673886,114.26620094833945,37.55772181556391,8.380129682450388e-05,0.00026534882504591906
2,MESS,AIDC03,pcc8500_mess_aidc03_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,AIDC,AIDC04,pcc8500_aidc_aidc04_lv,62.11534789980932,20.416327542322605,62.11552973403964,20.416753514894445,0.00018183423031814527,0.00042597257183984993
2,MESS,AIDC04,pcc8500_mess_aidc04_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,AIDC,AIDC05,pcc8500_aidc_aidc05_lv,140.3415125207747,46.128024462339056,140.3419191749901,46.129000077595094,0.0004066542153964292,0.000975615256038509
2,MESS,AIDC05,pcc8500_mess_aidc05_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,AIDC,AIDC06,pcc8500_aidc_aidc06_lv,114.26611714704262,37.55745646673886,114.26646921528885,37.55825005523248,0.0003520682462294644,0.0007935884936145499
2,MESS,AIDC06,pcc8500_mess_aidc06_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,AIDC,AIDC07,pcc8500_aidc_aidc07_lv,62.11534789980932,20.416327542322605,62.1154430854461,20.416605593756763,9.518563678057035e-05,0.00027805143415804423
2,MESS,AIDC07,pcc8500_mess_aidc07_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,AIDC,AIDC08,pcc8500_aidc_aidc08_lv,114.26611714704262,37.55745646673886,114.26644584413825,37.558243550130356,0.0003286970956253299,0.0007870833914935815
2,MESS,AIDC08,pcc8500_mess_aidc08_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,AIDC,AIDC09,pcc8500_aidc_aidc09_lv,62.11534789980932,20.416327542322605,62.11548996787121,20.41671977325411,0.00014206806189065446,0.0003922309315029793
2,MESS,AIDC09,pcc8500_mess_aidc09_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,AIDC,AIDC10,pcc8500_aidc_aidc10_lv,114.26611714704262,37.55745646673886,114.26651159788562,37.55826995273742,0.00039445084300382405,0.0008134859985560183
2,MESS,AIDC10,pcc8500_mess_aidc10_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,AIDC,AIDC11,pcc8500_aidc_aidc11_lv,62.11534789980932,20.416327542322605,62.115413498599935,20.416524005436266,6.559879061285301e-05,0.00019646311366017244
2,MESS,AIDC11,pcc8500_mess_aidc11_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,AIDC,AIDC12,pcc8500_aidc_aidc12_lv,114.26611714704262,37.55745646673886,114.26648671770518,37.55829448993512,0.0003695706625563844,0.0008380231962590301
2,MESS,AIDC12,pcc8500_mess_aidc12_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,MESS,STA01,pcc8500_mess_sta01_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,MESS,STA02,pcc8500_mess_sta02_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,MESS,STA03,pcc8500_mess_sta03_lv,0.0,0.0,0.0,0.0,0.0,0.0
2,MESS,STA04,pcc8500_mess_sta04_lv,0.0,0.0,0.0,0.0,0.0,0.0
