element_id,element_type,element_status,from_bus,to_bus,phases_available,rating_A,x_from,y_from,x_to,y_to,num_phases,is_switch,is_disabled
Line.hvmv_sub_connector,LINE,ACTIVE,_hvmv_sub_lsb,hvmv_sub_48332,1.2.3,400.0,,,,,3,,False
Line.ln5502549-1,LINE,ACTIVE,m1009763,l2673322,2,400.0,,,,,1,,False
Line.ln6259988-1,LINE,ACTIVE,m1069148,l2673309,3,400.0,,,,,1,,False
Line.ln6077796-1,LINE,ACTIVE,m1069588,l2804270,2,400.0,,,,,1,,False
Line.ln5835135-2,LINE,ACTIVE,m3036164,l2935553,2,400.0,,,,,1,,False
Line.ln5896826-1,LINE,ACTIVE,m1209749,l2748840,2,400.0,,,,,1,,False
Line.ln5714038-1,LINE,ACTIVE,m1108264,m1108263,2,400.0,,,,,1,,False
Line.ln5653457-1,LINE,ACTIVE,l3085398,m1026891,1.2.3,400.0,,,,,3,,False
Line.ln5835173-1,LINE,ACTIVE,l3216367,m1069468,1.2.3,400.0,,,,,3,,False
Line.ln6321415-1,LINE,ACTIVE,m1142800,m1142799,2,400.0,,,,,1,,False
Line.ln5565092-1,LINE,ACTIVE,m1047592,p827512,3,400.0,,,,,1,,False
Line.ln6073648-1,LINE,ACTIVE,m1047339,p895104,1,400.0,,,,,1,,False
Line.ln5774457-1,LINE,ACTIVE,m1026915,m1026920,1.2.3,400.0,,,,,3,,False
Line.ln5534966-3,LINE,ACTIVE,n1138596,l3254207,1,400.0,,,,,1,,False
Line.ln5859996-1,LINE,ACTIVE,m1069464,p873787,2,400.0,,,,,1,,False
Line.ln6138610-2,LINE,ACTIVE,n1144665,m1047515,1.2.3,400.0,,,,,3,,False
Line.ln6258435-3,LINE,ACTIVE,n1137002,m1047707,1,400.0,,,,,1,,False
Line.ln5804790-1,LINE,ACTIVE,l2729406,l2897768,3,400.0,,,,,1,,False
Line.ln6900591-14,LINE,ACTIVE,l3649301,l3649302,1,400.0,,,,,1,,False
Line.ln6409873-1,LINE,ACTIVE,l2970842,m1089113,2,400.0,,,,,1,,False
Line.ln6014135-1,LINE,ACTIVE,m1047312,p893163,1,400.0,,,,,1,,False
Line.ln6077784-1,LINE,ACTIVE,l2822871,m1026872,1.2.3,400.0,,,,,3,,False
Line.ln5744338-1,LINE,ACTIVE,m1026312,l2973163,2,400.0,,,,,1,,False
Line.ln6991381-4,LINE,ACTIVE,l3728038,l3728039,1,400.0,,,,,1,,False
Line.ln5774480-1,LINE,ACTIVE,m1069567,m1069582,2,400.0,,,,,1,,False
Line.ln5986938-3,LINE,ACTIVE,n1140830,l3216351,1,400.0,,,,,1,,False
Line.ln5894230-1,LINE,ACTIVE,l2952007,l2861158,3,400.0,,,,,1,,False
Line.ln5683858-3,LINE,ACTIVE,n1140827,m1026726,1.2.3,400.0,,,,,3,,False
Line.ln5920279-5,LINE,ACTIVE,l2730106,n1142099,1.2.3,400.0,,,,,3,,False
Line.ln6439600-1,LINE,ACTIVE,m1026658,l3172805,1,400.0,,,,,1,,False
Line.ln5589097-1,LINE,ACTIVE,p895112,l3048962,1,400.0,,,,,1,,False
Line.ln5651975-1,LINE,ACTIVE,l2991914,m1047503,1.2.3,400.0,,,,,3,,False
Line.ln5865236-1,LINE,ACTIVE,m1047751,l2973154,1,400.0,,,,,1,,False
Line.ln5593232-1,LINE,ACTIVE,l3010565,l2897775,3,400.0,,,,,1,,False
Line.ln5740283-1,LINE,ACTIVE,m1125955,m1125957,3,400.0,,,,,1,,False
Line.ln6106559-1,LINE,ACTIVE,m1069640,l2804269,2,400.0,,,,,1,,False
Line.ln5714056-3,LINE,ACTIVE,m1026702,n1139551,1.2.3,400.0,,,,,3,,False
Line.ln5985355-3,LINE,ACTIVE,n1136355,l2783231,2,400.0,,,,,1,,False
Line.ln5531956-1,LINE,ACTIVE,l2748143,l3251854,1,400.0,,,,,1,,False
Line.ln5650048-1,LINE,ACTIVE,m1069610,m1069600,2,400.0,,,,,1,,False
Line.ln6290203-1,LINE,ACTIVE,m1069424,l2935549,1.2.3,400.0,,,,,3,,False
Line.ln6134414-1,LINE,ACTIVE,p895089,l3235242,3,400.0,,,,,1,,False
Line.ln6259998-2,LINE,ACTIVE,m1026795,n1140522,3,400.0,,,,,1,,False
Line.ln6078767-1,LINE,ACTIVE,l3030199,m1125934,1.2.3,400.0,,,,,3,,False
Line.ln6017300-1,LINE,ACTIVE,m1069189,l2860487,3,400.0,,,,,1,,False
Line.ln8979257-2,LINE,ACTIVE,221-312488,m1089183,1.2.3,190.0,,,,,3,,False
Line.ln81048109-1,LINE,ACTIVE,m1108464,l3102286,2,220.0,,,,,1,,False
Line.293471,LINE,ACTIVE,f739845,293471,1.2.3,400.0,,,,,3,,False
Line.ln5534965-2,LINE,ACTIVE,p827499,n1139254,1,400.0,,,,,1,,False
Line.ln5655683-1,LINE,ACTIVE,m1026657,m1026656,1,400.0,,,,,1,,False
Line.ln5686247-1,LINE,ACTIVE,m1108299,m1108300,2,400.0,,,,,1,,False
Line.ln6048642-1,LINE,ACTIVE,l3198355,l2805037,2,400.0,,,,,1,,False
Line.ln5928544-3,LINE,ACTIVE,n1137994,m1069484,3,400.0,,,,,1,,False
Line.ln6108172-1,LINE,ACTIVE,l2860504,l2860493,1,400.0,,,,,1,,False
Line.ln5532754-1,LINE,ACTIVE,m1026783,m1026780,1.2.3,400.0,,,,,3,,False
Line.ln5591834-1,LINE,ACTIVE,p895111,l2895496,3,400.0,,,,,1,,False
Line.ln6347196-2,LINE,ACTIVE,n1140819,m1026700,1.2.3,400.0,,,,,3,,False
Line.ln5532741-1,LINE,ACTIVE,m1089173,l2935551,3,400.0,,,,,1,,False
Line.ln5804803-1,LINE,ACTIVE,m1026344,m1026364,1,400.0,,,,,1,,False
