element_id,from_bus,to_bus,x_from,y_from,x_to,y_to,B0_daily_max_loading,B0_daily_max_slot,B0_daily_max_timestamp,B0_daily_max_phase,B0_daily_max_terminal,B3_daily_max_loading,B3_daily_max_slot,B3_daily_max_timestamp,B3_daily_max_phase,B3_daily_max_terminal,B0_minus_B3_daily_max,relative_reduction_pct_if_defined
Line.hvmv_sub_connector,_hvmv_sub_lsb,hvmv_sub_48332,,,,,0.7804817459850478,73,2025-05-01T18:15,1,t2,0.800828013940274,74,2025-05-01T18:30,1,t1,-0.020346267955226205,-2.606885818904981
Line.ln5502549-1,m1009763,l2673322,,,,,0.0024697176319108363,73,2025-05-01T18:15,2,t2,0.0024976146137374046,73,2025-05-01T18:15,2,t2,-2.7896981826568308e-05,-1.1295615930386436
Line.ln6259988-1,m1069148,l2673309,,,,,0.001837526679008825,73,2025-05-01T18:15,3,t2,0.0018219506466368206,73,2025-05-01T18:15,3,t2,1.5576032372004384e-05,0.847662923751736
Line.ln6077796-1,m1069588,l2804270,,,,,0.0021057775639863135,73,2025-05-01T18:15,2,t2,0.0020944275688429726,73,2025-05-01T18:15,2,t2,1.1349995143340903e-05,0.5389930701823487
Line.ln5835135-2,m3036164,l2935553,,,,,0.02062833729252087,73,2025-05-01T18:15,2,t2,0.020718272713801583,73,2025-05-01T18:15,2,t2,-8.99354212807145e-05,-0.43597998231937973
Line.ln5896826-1,m1209749,l2748840,,,,,0.0010542055989576549,73,2025-05-01T18:15,2,t2,0.0010468790584036976,73,2025-05-01T18:15,2,t2,7.326540553957272e-06,0.6949821326315648
Line.ln5714038-1,m1108264,m1108263,,,,,0.002764911013231843,73,2025-05-01T18:15,2,t2,0.002779495308418597,73,2025-05-01T18:15,2,t2,-1.4584295186754158e-05,-0.5274779230492087
Line.ln5653457-1,l3085398,m1026891,,,,,0.07909140823267322,73,2025-05-01T18:15,2,t2,0.14937568854209876,74,2025-05-01T18:30,2,t1,-0.07028428030942555,-88.86462117688102
Line.ln5835173-1,l3216367,m1069468,,,,,0.08652566380064315,73,2025-05-01T18:15,2,t2,0.11641137580263543,84,2025-05-01T21:00,2,t2,-0.029885712001992276,-34.539708439393834
Line.ln6321415-1,m1142800,m1142799,,,,,0.0017803578602083956,73,2025-05-01T18:15,2,t2,0.0017588543709250064,73,2025-05-01T18:15,2,t2,2.150348928338917e-05,1.207818369778317
Line.ln5565092-1,m1047592,p827512,,,,,0.002758431933851891,73,2025-05-01T18:15,3,t2,0.002744791390050681,74,2025-05-01T18:30,3,t2,1.3640543801210318e-05,0.49450354869415175
Line.ln6073648-1,m1047339,p895104,,,,,0.003872042705176313,73,2025-05-01T18:15,1,t2,0.0038736431515611486,73,2025-05-01T18:15,1,t2,-1.6004463848353842e-06,-0.04133338670815378
Line.ln5774457-1,m1026915,m1026920,,,,,0.037586063583871294,73,2025-05-01T18:15,1,t2,0.03752958101245585,73,2025-05-01T18:15,1,t2,5.648257141544627e-05,0.15027530427443786
Line.ln5534966-3,n1138596,l3254207,,,,,0.014041209122367426,73,2025-05-01T18:15,1,t2,0.013907055506198097,71,2025-05-01T17:45,1,t2,0.0001341536161693288,0.9554278053990678
Line.ln5859996-1,m1069464,p873787,,,,,0.0035230368776010055,73,2025-05-01T18:15,2,t2,0.00351907768460177,73,2025-05-01T18:15,2,t2,3.9591929992355106e-06,0.1123801179717285
Line.ln6138610-2,n1144665,m1047515,,,,,0.18834191245462464,73,2025-05-01T18:15,1,t2,0.20659058391072005,84,2025-05-01T21:00,1,t2,-0.018248671456095406,-9.689118698150565
Line.ln6258435-3,n1137002,m1047707,,,,,0.0032139116280627293,73,2025-05-01T18:15,1,t2,0.0032037786471940024,73,2025-05-01T18:15,1,t2,1.0132980868726889e-05,0.3152849873110796
