k,medoid_rank,candidate_id,season,week_start_aest,week_end_exclusive_aest,burn_in_start_aest,burn_in_end_exclusive_aest,start_index,end_index_exclusive,burn_in_start_index,cluster_size_weeks,cluster_weight,cluster_member_ids_json,cluster_mean_distance,cluster_max_distance
12,1,W02_2025-01-13,summer,2025-01-13T00:00:00+10:00,2025-01-20T00:00:00+10:00,2025-01-11T00:00:00+10:00,2025-01-13T00:00:00+10:00,3456,5472,2880,6,0.11764705882352941,"[""W01_2025-01-06"",""W02_2025-01-13"",""W03_2025-01-20"",""W05_2025-02-03"",""W49_2025-12-08"",""W50_2025-12-15""]",2.1011778534532013,4.773566942956665
12,2,W07_2025-02-17,summer,2025-02-17T00:00:00+10:00,2025-02-24T00:00:00+10:00,2025-02-15T00:00:00+10:00,2025-02-17T00:00:00+10:00,13536,15552,12960,5,0.09803921568627451,"[""W04_2025-01-27"",""W06_2025-02-10"",""W07_2025-02-17"",""W08_2025-02-24"",""W48_2025-12-01""]",0.8242739996302081,1.399188636670917
12,3,W10_2025-03-10,autumn,2025-03-10T00:00:00+10:00,2025-03-17T00:00:00+10:00,2025-03-08T00:00:00+10:00,2025-03-10T00:00:00+10:00,19584,21600,19008,8,0.1568627450980392,"[""W09_2025-03-03"",""W10_2025-03-10"",""W11_2025-03-17"",""W12_2025-03-24"",""W15_2025-04-14"",""W19_2025-05-12"",""W20_2025-05-19"",""W21_2025-05-26""]",1.880817665088059,4.735325784963095
12,4,W17_2025-04-28,autumn,2025-04-28T00:00:00+10:00,2025-05-05T00:00:00+10:00,2025-04-26T00:00:00+10:00,2025-04-28T00:00:00+10:00,33696,35712,33120,2,0.0392156862745098,"[""W14_2025-04-07"",""W17_2025-04-28""]",1.903814994617658,3.807629989235316
12,5,W18_2025-05-05,autumn,2025-05-05T00:00:00+10:00,2025-05-12T00:00:00+10:00,2025-05-03T00:00:00+10:00,2025-05-05T00:00:00+10:00,35712,37728,35136,3,0.058823529411764705,"[""W13_2025-03-31"",""W16_2025-04-21"",""W18_2025-05-05""]",2.10450533446392,3.1831036488007154
12,6,W25_2025-06-23,winter,2025-06-23T00:00:00+10:00,2025-06-30T00:00:00+10:00,2025-06-21T00:00:00+10:00,2025-06-23T00:00:00+10:00,49824,51840,49248,2,0.0392156862745098,"[""W23_2025-06-09"",""W25_2025-06-23""]",1.476144228724133,2.952288457448266
12,7,W26_2025-06-30,winter,2025-06-30T00:00:00+10:00,2025-07-07T00:00:00+10:00,2025-06-28T00:00:00+10:00,2025-06-30T00:00:00+10:00,51840,53856,51264,7,0.13725490196078433,"[""W22_2025-06-02"",""W26_2025-06-30"",""W27_2025-07-07"",""W30_2025-07-28"",""W31_2025-08-04"",""W33_2025-08-18"",""W34_2025-08-25""]",1.2335639381137296,2.2456751980402125
12,8,W32_2025-08-11,winter,2025-08-11T00:00:00+10:00,2025-08-18T00:00:00+10:00,2025-08-09T00:00:00+10:00,2025-08-11T00:00:00+10:00,63936,65952,63360,4,0.0784313725490196,"[""W24_2025-06-16"",""W28_2025-07-14"",""W29_2025-07-21"",""W32_2025-08-11""]",3.0726808478747336,8.508546985645777
12,9,W38_2025-09-22,spring,2025-09-22T00:00:00+10:00,2025-09-29T00:00:00+10:00,2025-09-20T00:00:00+10:00,2025-09-22T00:00:00+10:00,76032,78048,75456,9,0.17647058823529413,"[""W35_2025-09-01"",""W36_2025-09-08"",""W37_2025-09-15"",""W38_2025-09-22"",""W39_2025-09-29"",""W43_2025-10-27"",""W45_2025-11-10"",""W46_2025-11-17"",""W47_2025-11-24""]",1.834470070650516,3.051934234202481
12,10,W41_2025-10-13,spring,2025-10-13T00:00:00+10:00,2025-10-20T00:00:00+10:00,2025-10-11T00:00:00+10:00,2025-10-13T00:00:00+10:00,82080,84096,81504,3,0.058823529411764705,"[""W40_2025-10-06"",""W41_2025-10-13"",""W42_2025-10-20""]",3.627067275961267,7.222616465105776
12,11,W44_2025-11-03,spring,2025-11-03T00:00:00+10:00,2025-11-10T00:00:00+10:00,2025-11-01T00:00:00+10:00,2025-11-03T00:00:00+10:00,88128,90144,87552,1,0.0196078431372549,"[""W44_2025-11-03""]",0.0,0.0
12,12,W51_2025-12-22,summer,2025-12-22T00:00:00+10:00,2025-12-29T00:00:00+10:00,2025-12-20T00:00:00+10:00,2025-12-22T00:00:00+10:00,102240,104256,101664,1,0.0196078431372549,"[""W51_2025-12-22""]",0.0,0.0
