bus,nodes,kV_LN,x,y,native_service,AIDC_candidate,MESS_original_interface_candidate,MESS_phase_adapted_candidate,exclusion
sourcebus,"[1, 2, 3]",66.39528095680697,1693780.0,12277577.7570982,False,False,False,False,source/regulator/internal
_hvmv_sub_lsb,"[1, 2, 3]",7.199557856794634,1693852.0,12277577.7570982,False,False,False,False,source/regulator/internal
hvmv_sub_48332,"[1, 2, 3]",7.199557856794634,1693886.0,12277577.7570982,False,True,True,True,
m1009763,"[1, 2, 3]",7.199557856794634,1662434.20000574,12281193.2184775,False,True,True,True,
l2673322,[2],7.199557856794634,1662466.18157377,12281293.8203336,False,False,False,False,
m1069148,[3],7.199557856794634,1674268.12974476,12266091.5900475,False,False,False,False,
l2673309,[3],7.199557856794634,1673916.32020843,12266089.1693115,False,False,False,False,
m1069588,[2],7.199557856794634,1674984.67169743,12287113.040307,False,False,False,False,
l2804270,[2],7.199557856794634,1674953.4315054,12287092.199859,False,False,False,False,
m3036164,[2],7.199557856794634,1668428.08980332,12289757.0697495,False,False,False,False,
l2935553,[2],7.199557856794634,1668339.05914724,12289885.9790616,False,False,False,False,
m1209749,[2],7.199557856794634,1692000.00048127,12273042.1702779,False,False,False,False,
l2748840,[2],7.199557856794634,1692304.77974556,12272449.8804854,False,False,False,False,
m1108264,[2],7.199557856794634,1679540.54190967,12260421.0589702,False,False,False,False,
m1108263,[2],7.199557856794634,1679627.65154175,12260104.7699459,False,False,False,False,
l3085398,"[1, 2, 3]",7.199557856794634,1663360.6087106,12285489.5210735,False,True,True,True,
m1026891,"[1, 2, 3]",7.199557856794634,1663258.8886465,12285227.3688813,False,True,True,True,
l3216367,"[1, 2, 3]",7.199557856794634,1673511.27086405,12278909.6206514,False,True,True,True,
m1069468,"[1, 2, 3]",7.199557856794634,1673577.79809611,12278791.4018993,False,True,True,True,
m1142800,[2],7.199557856794634,1686401.39106806,12272256.4509812,False,False,False,False,
m1142799,[2],7.199557856794634,1686166.70255584,12272059.916709,False,False,False,False,
m1047592,"[1, 2, 3]",7.199557856794634,1668812.72058768,12283524.2602717,False,True,True,True,
p827512,[3],7.199557856794634,1668818.20103568,12283534.9303517,False,False,False,False,
m1047339,"[1, 2, 3]",7.199557856794634,1671536.88827021,12264379.6013099,False,True,True,True,
p895104,[1],7.199557856794634,1671529.47041421,12264403.8864939,False,False,False,False,
m1026915,"[1, 2, 3]",7.199557856794634,1663539.86195877,12285876.8797939,False,True,True,True,
m1026920,"[1, 2, 3]",7.199557856794634,1663580.1502148,12286004.691378,False,True,True,True,
n1138596,[1],7.199557856794634,1673874.29115239,12274484.2244233,False,False,False,False,
l3254207,[1],7.199557856794634,1673949.12097646,12274513.4985353,False,False,False,False,
m1069464,"[1, 2, 3]",7.199557856794634,1673734.40046426,12278609.6623791,False,True,True,True,
p873787,[2],7.199557856794634,1673733.52392026,12278589.2233391,False,False,False,False,
n1144665,"[1, 2, 3]",7.199557856794634,1669973.12148476,12282252.9970385,False,True,True,True,
m1047515,"[1, 2, 3]",7.199557856794634,1669891.14823668,12282216.1903825,False,True,True,True,
n1137002,[1],7.199557856794634,1670188.25978896,12285034.7176171,False,False,False,False,
m1047707,[1],7.199557856794634,1669945.41204473,12285152.3997932,False,False,False,False,
