AIDC,bus,phase_connection,primary_kV,secondary_kV,transformer_kVA
AIDC01,m1026834,m1026834.1.2.3,12.47,0.48,1500
AIDC02,e184626,e184626.1.2.3,12.47,0.48,1500
AIDC03,l3234149,l3234149.1.2.3,12.47,0.48,1500
AIDC04,m4113347,m4113347.1.2.3,12.47,0.48,1500
AIDC05,m1047763,m1047763.1.2.3,12.47,0.48,1500
AIDC06,m1026780,m1026780.1.2.3,12.47,0.48,1500
AIDC07,n1142100,n1142100.1.2.3,12.47,0.48,1500
AIDC08,l3122821,l3122821.1.2.3,12.47,0.48,1500
AIDC09,m1047566,m1047566.1.2.3,12.47,0.48,1500
AIDC10,l2814529,l2814529.1.2.3,12.47,0.48,1500
AIDC11,l2992624,l2992624.1.2.3,12.47,0.48,1500
AIDC12,e182733,e182733.1.2.3,12.47,0.48,1500
