day,policy,mess_id,previous_origin,previous_destination,previous_departure_slot,previous_planned_connection_ready_slot,previous_actual_arrival_slot,previous_actual_connection_ready_slot,next_planned_departure_slot,collision_magnitude_slots,planned_safe_eta_seconds,planned_q50_eta_seconds,planned_q90_eta_seconds,actual_eta_seconds,actual_eta_late_vs_safe,actual_eta_late_vs_q50,actual_eta_late_vs_q90,eta_delay_vs_safe_seconds,ready_delay_slots,planned_arrival_slot_safe,physical_arrival_slot_boundary_crossing,connection_ready_slot_boundary_crossing,classification,frozen_command_source,actual_moves_source,actual_final_actuator
2025-05-01,B2,MESS01,STA01,STA02,22,24,22.57374298858402,24,,0,600.4882888793946,502.9468994140625,529.1708374023438,516.3686897256187,False,True,False,-84.119599153776,0,22.667209209865995,False,False,WITHIN_SAFE_ETA,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_may\loop_wall_v4\2025-05-01\B2\dayahead\FROZEN_MESS_COMMANDS.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\common_inputs\2025-05-01\B2\ACTUAL_MESS_AUDIT.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-01\B2\ETA95_QSAFE_ACTUAL\ACTUATOR.json
2025-05-01,B2,MESS02,STA12,IDC05,10,14,12.378588642966433,14,,0,2364.29776763916,2266.756378173828,2384.9463806152344,2140.72977866979,False,False,False,-223.56798896937016,0,12.626997519599067,False,False,WITHIN_SAFE_ETA,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_may\loop_wall_v4\2025-05-01\B2\dayahead\FROZEN_MESS_COMMANDS.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\common_inputs\2025-05-01\B2\ACTUAL_MESS_AUDIT.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-01\B2\ETA95_QSAFE_ACTUAL\ACTUATOR.json
2025-05-01,B3,MESS01,STA01,STA02,23,25,23.595846515763174,25,,0,616.6278152465821,519.08642578125,546.1519165039062,536.2618641868581,False,True,False,-80.36595105972401,0,23.685142016940645,False,False,WITHIN_SAFE_ETA,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_may\loop_wall_v4\2025-05-01\B3\dayahead\FROZEN_MESS_COMMANDS.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\common_inputs\2025-05-01\B3\ACTUAL_MESS_AUDIT.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-01\B3\ETA95_QSAFE_ACTUAL\ACTUATOR.json
2025-05-02,B2,MESS01,STA01,STA02,23,25,23.578905374850937,25,,0,583.249366760254,485.7079772949219,511.0330810546875,521.0148373658438,False,True,True,-62.234529394410174,0,23.648054851955838,False,False,WITHIN_SAFE_ETA,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_may\loop_wall_v4\2025-05-02\B2\dayahead\FROZEN_MESS_COMMANDS.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\common_inputs\2025-05-02\B2\ACTUAL_MESS_AUDIT.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-02\B2\ETA95_QSAFE_ACTUAL\ACTUATOR.json
2025-05-02,B3,MESS01,STA01,STA02,23,25,23.578905374850937,25,,0,583.249366760254,485.7079772949219,511.0330810546875,521.0148373658438,False,True,True,-62.234529394410174,0,23.648054851955838,False,False,WITHIN_SAFE_ETA,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_may\loop_wall_v4\2025-05-02\B3\dayahead\FROZEN_MESS_COMMANDS.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\common_inputs\2025-05-02\B3\ACTUAL_MESS_AUDIT.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-02\B3\ETA95_QSAFE_ACTUAL\ACTUATOR.json
2025-05-03,B2,MESS01,STA01,STA05,47,50,48.672776615434564,50,,0,1638.1583251953127,1449.3218078613281,1525.8536071777344,1505.4989538911072,False,True,False,-132.65937130420548,0,48.820175916883684,False,False,WITHIN_SAFE_ETA,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_may\loop_wall_v4\2025-05-03\B2\dayahead\FROZEN_MESS_COMMANDS.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\common_inputs\2025-05-03\B2\ACTUAL_MESS_AUDIT.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-03\B2\ETA95_QSAFE_ACTUAL\ACTUATOR.json
2025-05-03,B2,MESS02,STA12,STA11,41,43,41.92571232121665,43,,0,1007.0285568237307,818.1920394897461,861.3969497680664,833.141089094983,False,True,False,-173.88746772874765,0,42.11892061869303,False,False,WITHIN_SAFE_ETA,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_may\loop_wall_v4\2025-05-03\B2\dayahead\FROZEN_MESS_COMMANDS.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\common_inputs\2025-05-03\B2\ACTUAL_MESS_AUDIT.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-03\B2\ETA95_QSAFE_ACTUAL\ACTUATOR.json
2025-05-03,B3,MESS01,STA01,STA05,40,43,41.62635320766444,43,,0,1641.8332824707034,1452.9967651367188,1529.72265625,1463.7178868979936,False,True,False,-178.11539557270976,0,41.824259202745225,False,False,WITHIN_SAFE_ETA,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_may\loop_wall_v4\2025-05-03\B3\dayahead\FROZEN_MESS_COMMANDS.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\common_inputs\2025-05-03\B3\ACTUAL_MESS_AUDIT.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-03\B3\ETA95_QSAFE_ACTUAL\ACTUATOR.json
2025-05-04,B2,MESS01,STA01,IDC12,48,50,48.77554694235069,50,,0,922.7624382019044,734.4519653320312,773.4604568481445,697.9922481156167,False,False,False,-224.7701900862877,0,49.02529159800211,False,False,WITHIN_SAFE_ETA,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_may\loop_wall_v4\2025-05-04\B2\dayahead\FROZEN_MESS_COMMANDS.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\common_inputs\2025-05-04\B2\ACTUAL_MESS_AUDIT.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-04\B2\ETA95_QSAFE_ACTUAL\ACTUATOR.json
2025-05-04,B2,MESS02,STA12,IDC05,14,18,16.662423963355224,18,,0,2352.809356689453,2255.267967224121,2372.858989715576,2396.181567019702,True,True,True,43.37221033024889,0,16.614232618543838,False,False,ETA_DELAY_WITHOUT_CONNECTION_READY_SLOT_CROSSING,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_may\loop_wall_v4\2025-05-04\B2\dayahead\FROZEN_MESS_COMMANDS.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\common_inputs\2025-05-04\B2\ACTUAL_MESS_AUDIT.json,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-04\B2\ETA95_QSAFE_ACTUAL\ACTUATOR.json
