day,policy,Actual_disposition,resolved_namespace,authoritative_replay,final_DA_trajectory_SHA,moves,eta_late_safe,eta_late_q50,eta_late_q90,ready_slot_late,collisions,binding_status
2025-05-01,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-01\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-01,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-01\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-01,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-01\B2,3c53e0486a6d58f91ecfc9b45a1892995c171ebd326215b58530def89ededfed,2,0,1,0,0,0,PASS
2025-05-01,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-01\B3,f5484fc93d857edd414b0d7dd8149c26bd0881806f69b2277b312b53adfe0bcc,1,0,1,0,0,0,PASS
2025-05-02,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-02\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-02,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-02\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-02,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-02\B2,bb3ac6ed8430920db1da19f8beddef7e5f48718df9aae842106bcf41096e6af6,1,0,1,1,0,0,PASS
2025-05-02,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-02\B3,c05686fe2c22f947448a71de6e0440319036067856633915deb200f84c657883,1,0,1,1,0,0,PASS
2025-05-03,B0,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-03\B0,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-03,B1,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-03\B1,919ef1319c0868b07b0fbd5dfce7617121b9346a41935b2fb70cb10c20714fbd,0,0,0,0,0,0,PASS
2025-05-03,B2,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-03\B2,d96e7e5e10bdf60e82d413df137bd028e0b151b9fc4a97225b6b1cabff70139d,2,0,2,0,0,0,PASS
2025-05-03,B3,REUSED,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1,C:\codex_mobileess_workspace\MobileESS_v41r3_scale_rebalance\frozen_artifacts\v41r4_actual_eta95_qsafe_robust_v2_perf1\replays\2025-05-03\B3,b75afeabce6d3204c854804ca8e9fda06ca37e9b681c1b7fcf7f1615d0fc1165,1,0,1,0,0,0,PASS
