day,policy,mess_id,moves,consecutive_move_pairs,collision_count
2025-05-01,B0,MESS01,0,0,0
2025-05-01,B0,MESS02,0,0,0
2025-05-01,B0,MESS03,0,0,0
2025-05-01,B0,MESS04,0,0,0
2025-05-01,B1,MESS01,0,0,0
2025-05-01,B1,MESS02,0,0,0
2025-05-01,B1,MESS03,0,0,0
2025-05-01,B1,MESS04,0,0,0
2025-05-01,B2,MESS01,1,0,0
2025-05-01,B2,MESS02,1,0,0
2025-05-01,B2,MESS03,0,0,0
2025-05-01,B2,MESS04,0,0,0
2025-05-01,B3,MESS01,1,0,0
2025-05-01,B3,MESS02,0,0,0
2025-05-01,B3,MESS03,0,0,0
2025-05-01,B3,MESS04,0,0,0
2025-05-02,B0,MESS01,0,0,0
2025-05-02,B0,MESS02,0,0,0
2025-05-02,B0,MESS03,0,0,0
2025-05-02,B0,MESS04,0,0,0
2025-05-02,B1,MESS01,0,0,0
2025-05-02,B1,MESS02,0,0,0
2025-05-02,B1,MESS03,0,0,0
2025-05-02,B1,MESS04,0,0,0
2025-05-02,B2,MESS01,1,0,0
2025-05-02,B2,MESS02,0,0,0
2025-05-02,B2,MESS03,0,0,0
2025-05-02,B2,MESS04,0,0,0
2025-05-02,B3,MESS01,1,0,0
2025-05-02,B3,MESS02,0,0,0
2025-05-02,B3,MESS03,0,0,0
2025-05-02,B3,MESS04,0,0,0
2025-05-03,B0,MESS01,0,0,0
2025-05-03,B0,MESS02,0,0,0
2025-05-03,B0,MESS03,0,0,0
2025-05-03,B0,MESS04,0,0,0
2025-05-03,B1,MESS01,0,0,0
2025-05-03,B1,MESS02,0,0,0
2025-05-03,B1,MESS03,0,0,0
2025-05-03,B1,MESS04,0,0,0
2025-05-03,B2,MESS01,1,0,0
2025-05-03,B2,MESS02,1,0,0
2025-05-03,B2,MESS03,0,0,0
2025-05-03,B2,MESS04,0,0,0
2025-05-03,B3,MESS01,1,0,0
2025-05-03,B3,MESS02,0,0,0
2025-05-03,B3,MESS03,0,0,0
2025-05-03,B3,MESS04,0,0,0
2025-05-04,B0,MESS01,0,0,0
2025-05-04,B0,MESS02,0,0,0
2025-05-04,B0,MESS03,0,0,0
2025-05-04,B0,MESS04,0,0,0
2025-05-04,B1,MESS01,0,0,0
2025-05-04,B1,MESS02,0,0,0
2025-05-04,B1,MESS03,0,0,0
2025-05-04,B1,MESS04,0,0,0
2025-05-04,B2,MESS01,1,0,0
2025-05-04,B2,MESS02,1,0,0
2025-05-04,B2,MESS03,0,0,0
2025-05-04,B2,MESS04,0,0,0
2025-05-04,B3,MESS01,1,0,0
2025-05-04,B3,MESS02,0,0,0
2025-05-04,B3,MESS03,0,0,0
2025-05-04,B3,MESS04,0,0,0
2025-05-05,B0,MESS01,0,0,0
2025-05-05,B0,MESS02,0,0,0
2025-05-05,B0,MESS03,0,0,0
2025-05-05,B0,MESS04,0,0,0
2025-05-05,B1,MESS01,0,0,0
2025-05-05,B1,MESS02,0,0,0
2025-05-05,B1,MESS03,0,0,0
2025-05-05,B1,MESS04,0,0,0
2025-05-05,B2,MESS01,1,0,0
2025-05-05,B2,MESS02,0,0,0
2025-05-05,B2,MESS03,0,0,0
2025-05-05,B2,MESS04,0,0,0
2025-05-05,B3,MESS01,1,0,0
2025-05-05,B3,MESS02,0,0,0
2025-05-05,B3,MESS03,0,0,0
2025-05-05,B3,MESS04,0,0,0
2025-05-06,B0,MESS01,0,0,0
2025-05-06,B0,MESS02,0,0,0
2025-05-06,B0,MESS03,0,0,0
2025-05-06,B0,MESS04,0,0,0
2025-05-06,B1,MESS01,0,0,0
2025-05-06,B1,MESS02,0,0,0
2025-05-06,B1,MESS03,0,0,0
2025-05-06,B1,MESS04,0,0,0
2025-05-06,B2,MESS01,1,0,0
2025-05-06,B2,MESS02,1,0,0
2025-05-06,B2,MESS03,0,0,0
2025-05-06,B2,MESS04,0,0,0
2025-05-06,B3,MESS01,1,0,0
2025-05-06,B3,MESS02,0,0,0
2025-05-06,B3,MESS03,0,0,0
2025-05-06,B3,MESS04,0,0,0
2025-05-07,B0,MESS01,0,0,0
2025-05-07,B0,MESS02,0,0,0
2025-05-07,B0,MESS03,0,0,0
2025-05-07,B0,MESS04,0,0,0
2025-05-07,B1,MESS01,0,0,0
2025-05-07,B1,MESS02,0,0,0
2025-05-07,B1,MESS03,0,0,0
2025-05-07,B1,MESS04,0,0,0
2025-05-07,B2,MESS01,1,0,0
2025-05-07,B2,MESS02,1,0,0
2025-05-07,B2,MESS03,0,0,0
2025-05-07,B2,MESS04,0,0,0
2025-05-07,B3,MESS01,1,0,0
2025-05-07,B3,MESS02,0,0,0
2025-05-07,B3,MESS03,0,0,0
2025-05-07,B3,MESS04,0,0,0
2025-05-08,B0,MESS01,0,0,0
2025-05-08,B0,MESS02,0,0,0
