slot,demand_DA_MW,PV_DA_MW,demand_multiplier,PV_multiplier
0,4419.27,0.0,0.7249315958347278,0.0
1,4419.27,0.0,0.7249315958347278,0.0
2,4278.68,0.0,0.701869385773246,0.0
3,4278.68,0.0,0.701869385773246,0.0
4,4149.57,0.0,0.680690340741324,0.0
5,4149.57,0.0,0.680690340741324,0.0
6,4015.94,0.0,0.6587698404887044,0.0
7,4015.94,0.0,0.6587698404887044,0.0
8,3933.22,0.0,0.6452005537948727,0.0
9,3933.22,0.0,0.6452005537948727,0.0
10,3880.88,0.0,0.6366147648012178,0.0
11,3880.88,0.0,0.6366147648012178,0.0
12,3857.4,0.0,0.6327631345839649,0.0
13,3857.4,0.0,0.6327631345839649,0.0
14,3853.49,0.0,0.6321217430103082,0.0
15,3853.49,0.0,0.6321217430103082,0.0
16,3864.62,0.0,0.6339474944718936,0.0
17,3864.62,0.0,0.6339474944718936,0.0
18,3947.66,0.0,0.6475692735707302,0.0
19,3947.66,0.0,0.6475692735707302,0.0
20,4107.37,0.0,0.6737679048312697,0.0
21,4107.37,0.0,0.6737679048312697,0.0
22,4323.16,0.0,0.7091658300689618,0.0
23,4323.16,0.0,0.7091658300689618,0.0
24,4627.9,0.0,0.7591550035104295,0.0
25,4627.9,0.0,0.7591550035104295,0.0
26,4913.82,0.0,0.8060569673825319,0.0
27,4913.82,0.0,0.8060569673825319,0.0
28,5095.21,24.155,0.8358119590821703,0.010526815815805347
29,5095.21,24.155,0.8358119590821703,0.010526815815805347
30,5123.84,251.701,0.8405083889424749,0.10969199203701185
31,5123.84,251.701,0.8405083889424749,0.10969199203701185
32,4955.44,625.42,0.8128842608085142,0.2725597659913467
33,4955.44,625.42,0.8128842608085142,0.2725597659913467
34,4644.39,1019.033,0.7618600027558513,0.4440974001750184
35,4644.39,1019.033,0.7618600027558513,0.4440974001750184
36,4413.1,1393.389,0.7239194766507222,0.6072427804913763
37,4413.1,1393.389,0.7239194766507222,0.6072427804913763
38,4158.87,1698.629,0.6822159012617862,0.7402672168240786
39,4158.87,1698.629,0.6822159012617862,0.7402672168240786
40,3917.16,1935.078,0.6425660912186768,0.8433123450721166
41,3917.16,1935.078,0.6425660912186768,0.8433123450721166
42,3763.66,2101.878,0.6173861406927685,0.9160042464621532
43,3763.66,2101.878,0.6173861406927685,0.9160042464621532
44,3554.0,2205.465,0.5829937730884562,0.9611477475969836
45,3554.0,2205.465,0.5829937730884562,0.9611477475969836
46,3468.26,2265.381,0.5689290893223887,0.9872593061322679
47,3468.26,2265.381,0.5689290893223887,0.9872593061322679
48,3428.34,2294.616,0.5623806617979962,1.0
49,3428.34,2294.616,0.5623806617979962,1.0
50,3467.88,2284.124,0.5688667545914451,0.9954275573777921
51,3467.88,2284.124,0.5688667545914451,0.9954275573777921
52,3519.42,2230.404,0.5773213125725872,0.9720162327814327
53,3519.42,2230.404,0.5773213125725872,0.9720162327814327
54,3646.31,2122.698,0.5981361915447858,0.9250776600529238
55,3646.31,2122.698,0.5981361915447858,0.9250776600529238
56,3757.97,1948.491,0.6164527601162707,0.8491577675741824
57,3757.97,1948.491,0.6164527601162707,0.8491577675741824
58,3967.34,1691.605,0.6507975564785471,0.7372061381948004
59,3967.34,1691.605,0.6507975564785471,0.7372061381948004
60,4243.79,1362.262,0.6961460732400281,0.5936775477901313
61,4243.79,1362.262,0.6961460732400281,0.5936775477901313
62,4638.5,981.378,0.7608938144262252,0.4276872470164943
63,4638.5,981.378,0.7608938144262252,0.4276872470164943
64,5061.31,603.103,0.8302510449269372,0.26283395565968337
65,5061.31,603.103,0.8302510449269372,0.26283395565968337
66,5431.6,256.894,0.8909929594561787,0.11195511580151102
67,5431.6,256.894,0.8909929594561787,0.11195511580151102
68,5747.78,35.02,0.9428587363765805,0.015261812869778648
69,5747.78,35.02,0.9428587363765805,0.015261812869778648
70,6034.08,0.0,0.9898230349796264,0.0
71,6034.08,0.0,0.9898230349796264,0.0
72,6096.12,0.0,1.0,0.0
73,6096.12,0.0,1.0,0.0
74,6009.9,0.0,0.9858565776264246,0.0
75,6009.9,0.0,0.9858565776264246,0.0
76,5877.2,0.0,0.9640886334258512,0.0
77,5877.2,0.0,0.9640886334258512,0.0
78,5729.54,0.0,0.9398666692912869,0.0
79,5729.54,0.0,0.9398666692912869,0.0
80,5550.5,0.0,0.910497168690905,0.0
81,5550.5,0.0,0.910497168690905,0.0
82,5377.74,0.0,0.8821578315387493,0.0
83,5377.74,0.0,0.8821578315387493,0.0
84,5216.89,0.0,0.8557721960853789,0.0
85,5216.89,0.0,0.8557721960853789,0.0
86,5034.64,0.0,0.8258761310472892,0.0
87,5034.64,0.0,0.8258761310472892,0.0
88,4844.36,0.0,0.7946628347211012,0.0
89,4844.36,0.0,0.7946628347211012,0.0
90,4713.99,0.0,0.7732771008444715,0.0
91,4713.99,0.0,0.7732771008444715,0.0
92,4704.57,0.0,0.7717318556721324,0.0
93,4704.57,0.0,0.7717318556721324,0.0
94,4617.12,0.0,0.7573866656168186,0.0
95,4617.12,0.0,0.7573866656168186,0.0
